C,Gamma,AN,DI,FE,HA,NE,SA,SU
1000.0,0.00015,1.0,1.0,1.0,0.9166666666666666,0.8333333333333334,0.8,0.8181818181818182
10000.0,0.00015,1.0,1.0,1.0,0.9166666666666666,0.8333333333333334,0.8,0.8181818181818182
100000.0,0.00015,1.0,1.0,1.0,0.9166666666666666,0.8333333333333334,0.8,0.8181818181818182
1000.0,0.00011,1.0,1.0,1.0,0.9166666666666666,0.8333333333333334,0.8,0.8181818181818182
10000.0,0.00011,1.0,1.0,1.0,0.9166666666666666,0.8333333333333334,0.8,0.8181818181818182
100000.0,0.00011,1.0,1.0,1.0,0.9166666666666666,0.8333333333333334,0.8,0.8181818181818182
1000.0,0.000105,1.0,1.0,1.0,0.9166666666666666,0.8333333333333334,0.8,0.8181818181818182
10000.0,0.000105,1.0,1.0,1.0,0.9166666666666666,0.8333333333333334,0.8,0.8181818181818182
100000.0,0.000105,1.0,1.0,1.0,0.9166666666666666,0.8333333333333334,0.8,0.8181818181818182
1000.0,9.5e-05,1.0,1.0,1.0,0.9166666666666666,0.8333333333333334,0.8,0.8181818181818182
10000.0,9.5e-05,1.0,1.0,1.0,0.9166666666666666,0.8333333333333334,0.8,0.8181818181818182
100000.0,9.5e-05,1.0,1.0,1.0,0.9166666666666666,0.8333333333333334,0.8,0.8181818181818182
1000.0,9e-05,1.0,1.0,1.0,0.9166666666666666,0.8333333333333334,0.8,0.8181818181818182
10000.0,9e-05,1.0,1.0,1.0,0.9166666666666666,0.8333333333333334,0.8,0.8181818181818182
100000.0,9e-05,1.0,1.0,1.0,0.9166666666666666,0.8333333333333334,0.8,0.8181818181818182
1000.0,7e-05,1.0,1.0,1.0,0.9166666666666666,0.8333333333333334,0.8,0.8181818181818182
10000.0,7e-05,1.0,1.0,1.0,0.9166666666666666,0.8333333333333334,0.8,0.8181818181818182
100000.0,7e-05,1.0,1.0,1.0,0.9166666666666666,0.8333333333333334,0.8,0.8181818181818182
1000.0,5e-05,1.0,1.0,1.0,0.9166666666666666,0.8333333333333334,0.8,0.8181818181818182
10000.0,5e-05,1.0,1.0,1.0,0.9166666666666666,0.8333333333333334,0.8,0.8181818181818182
100000.0,5e-05,1.0,1.0,1.0,0.9166666666666666,0.8333333333333334,0.8,0.8181818181818182
10000.0,1.9e-05,1.0,1.0,1.0,0.9166666666666666,0.8333333333333334,0.8,0.8181818181818182
100000.0,1.9e-05,1.0,1.0,1.0,0.9166666666666666,0.8333333333333334,0.8,0.8181818181818182
10000.0,1e-05,1.0,1.0,1.0,0.9166666666666666,0.8333333333333334,0.8,0.8181818181818182
100000.0,1e-05,1.0,1.0,1.0,0.9166666666666666,0.8333333333333334,0.8,0.8181818181818182
100000.0,1e-06,1.0,1.0,1.0,0.9166666666666666,0.8333333333333334,0.8,0.8181818181818182
