C,Gamma,AN,DI,FE,HA,NE,SA,SU
1e-11,0.1,1.0,1.0,1.0,0.8461538461538461,1.0,0.8333333333333334,0.9090909090909091
1e-10,0.1,1.0,1.0,1.0,0.8461538461538461,1.0,0.8333333333333334,0.9090909090909091
1e-09,0.1,1.0,1.0,1.0,0.8461538461538461,1.0,0.8333333333333334,0.9090909090909091
1e-08,0.1,1.0,1.0,1.0,0.8461538461538461,1.0,0.8333333333333334,0.9090909090909091
1e-07,0.1,1.0,1.0,1.0,0.8461538461538461,1.0,0.8333333333333334,0.9090909090909091
1e-06,0.1,1.0,1.0,1.0,0.8461538461538461,1.0,0.8333333333333334,0.9090909090909091
1e-05,0.1,1.0,1.0,1.0,0.8461538461538461,1.0,0.8333333333333334,0.9090909090909091
0.0001,0.1,1.0,1.0,1.0,0.8461538461538461,1.0,0.8333333333333334,0.9090909090909091
10.0,0.01,1.0,0.9,1.0,0.9090909090909091,1.0,0.9090909090909091,0.8333333333333334
100.0,0.01,1.0,0.9,1.0,0.9090909090909091,1.0,0.9090909090909091,0.8333333333333334
1000.0,0.01,1.0,0.9,1.0,0.9090909090909091,1.0,0.9090909090909091,0.8333333333333334
10000.0,0.01,1.0,0.9,1.0,0.9090909090909091,1.0,0.9090909090909091,0.8333333333333334
100000.0,0.01,1.0,0.9,1.0,0.9090909090909091,1.0,0.9090909090909091,0.8333333333333334
