gamma \ C,1e-12,1e-11,1e-10,1e-09,1e-08,1e-07,1e-06,1e-05,0.0001,0.001,0.002,0.01,0.1,1.0,10.0,100.0,1000.0,10000.0,100000.0
1.0,20.55,28.77,41.10,52.05,71.23,78.08,82.19,82.19,83.56,83.56,24.66,65.75,65.75,65.75,61.64,61.64,61.64,61.64,61.64
0.1,91.78,93.15,93.15,93.15,93.15,93.15,93.15,93.15,93.15,90.41,87.67,90.41,90.41,90.41,89.04,89.04,89.04,89.04,89.04
0.01,67.12,67.12,67.12,67.12,67.12,67.12,67.12,67.12,67.12,67.12,67.12,84.93,84.93,84.93,93.15,93.15,93.15,93.15,93.15
0.001,64.38,53.42,53.42,53.42,53.42,53.42,53.42,53.42,53.42,53.42,53.42,54.79,79.45,79.45,79.45,91.78,91.78,91.78,91.78
0.0005,58.90,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,78.08,79.45,79.45,87.67,91.78,91.78,91.78
0.0002,63.01,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,71.23,80.82,79.45,83.56,91.78,91.78,91.78
0.00015,64.38,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,69.86,79.45,78.08,82.19,91.78,91.78,91.78
0.00011,53.42,58.90,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,67.12,80.82,78.08,78.08,91.78,91.78,91.78
0.000105,57.53,63.01,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,60.27,79.45,79.45,78.08,91.78,91.78,91.78
0.0001,64.38,63.01,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,57.53,79.45,79.45,78.08,91.78,91.78,91.78
9.5e-05,67.12,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,80.82,79.45,78.08,90.41,91.78,91.78
9e-05,64.38,64.38,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,63.01,79.45,78.08,78.08,90.41,91.78,91.78
7e-05,63.01,58.90,65.75,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,61.64,63.01,79.45,79.45,78.08,87.67,91.78,91.78
5e-05,60.27,65.75,61.64,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75,78.08,79.45,78.08,87.67,91.78,91.78
1.9e-05,58.90,56.16,61.64,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75,79.45,78.08,83.56,91.78,91.78
1e-05,63.01,64.38,61.64,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75,65.75,60.27,79.45,79.45,78.08,91.78,91.78
1e-06,47.95,65.75,58.90,58.90,67.12,67.12,67.12,67.12,67.12,67.12,67.12,67.12,67.12,67.12,63.01,78.08,78.08,78.08,91.78
1e-07,13.70,47.95,53.42,61.64,69.86,67.12,71.23,68.49,69.86,68.49,69.86,63.01,71.23,69.86,69.86,76.71,79.45,79.45,79.45
